company,country,segment,why_fit,evidence_url,signal_date_or_source,role_to_approach,verification_status
Enraf-Nonius B.V.,Netherlands,Physiotherapy devices,Site: electrotherapy and rehab equipment; mid-size portfolio,https://www.enraf-nonius.com/,Company site fetched 2026-09-23,RA/QA manager,public-source-verified
Koninklijke Philips N.V.,Netherlands,Diagnostic/monitoring devices,"Site lists imaging, monitoring, clinical decision support; very large scale (enterprise)",https://www.philips.com/a-w/about/company.html,Company site fetched 2026-09-23,Head of RA / RA ops manager,public-source-verified
Aerogen,Ireland,Respiratory drug delivery,"Site: vibrating-mesh nebulisers (Aerogen Solo, Ultra, Go)",https://www.aerogen.com/,Company site fetched 2026-09-23,Head of RA / QA,public-source-verified
Trinity Biotech plc,Ireland,"IVD (IVDR-adjacent, secondary fit)",Site: diagnostic reagents/instruments and CGM wearables; IVDR rather than MDR,https://www.trinitybiotech.com/,Company site fetched 2026-09-23,Head of RA / QA,public-source-verified
XVIVO (XVIVO Perfusion AB),Sweden,Organ perfusion,"Site: machine perfusion, PERFADEX Plus; site mentions CE approval delay for heart solution",https://www.xvivogroup.com/us/,Company site fetched 2026-09-23 (CE approval news on homepage),Head of RA / QA,public-source-verified
Integrum AB,Sweden,Implantable bone-anchored prostheses,Site: OPRA osseointegrated implant system,https://www.integrum.se/,Company site fetched 2026-09-23,Head of RA / PRRC,public-source-verified
Episurf Medical AB,Sweden,Custom orthopaedic implants,Site: Episealer knee/talus/patellofemoral implants,https://www.episurf.com,Company site fetched 2026-09-23,Head of RA / PRRC,public-source-verified
Getinge AB,Sweden,Hospital/surgical devices,Large portfolio; Swedish HQ,https://www.getinge.com/int/,Company site fetched 2026-09-23,Head of RA / RA ops manager,public-source-verified
Elekta AB,Sweden,Radiotherapy systems,Site: radiation oncology systems and adaptive radiotherapy software,https://www.elekta.com/,Company site fetched 2026-09-23,Head of RA / QA,public-source-verified
Bactiguard Holding AB,Sweden,Coatings/wound,Site: infection-prevention coating technology and wound care/sutures,https://www.bactiguard.com/,Company site fetched 2026-09-23,Head of RA / QA,public-source-verified
Mölnlycke Health Care,Sweden,Wound care/surgical,Site: wound care and surgical solutions; Gothenburg HQ,https://www.molnlycke.com/,Company site fetched 2026-09-23,Head of RA / RA ops manager,public-source-verified
Arjo AB,Sweden,Patient handling/hygiene,"Site: medical beds, patient handling, disinfection, VTE devices; Malmo HQ",https://www.arjo.com/,Company site fetched 2026-09-23,Head of RA / QA,public-source-verified
Sequana Medical,Belgium,Implantable pump,"Site: alfapump (implantable), CE marked in Europe, FDA approval Dec 2024",https://www.sequanamedical.com/,Company site fetched 2026-09-23,Head of RA / PRRC,public-source-verified
Nyxoah SA,Belgium,Implantable neurostimulator,Site: Genio hypoglossal neurostimulation system,https://www.nyxoah.com/,Company site fetched 2026-09-23,Head of RA / PRRC,public-source-verified
IBA (Ion Beam Applications),Belgium,Proton therapy / dosimetry,"Site: proton therapy, dosimetry/QA, Louvain-la-Neuve HQ",https://www.iba-worldwide.com/,Company site fetched 2026-09-23,Head of RA / QA,public-source-verified
CARMAT SA,France,Implantable artificial heart,Site: artificial heart technology; French-listed,https://www.carmatsa.com/en/,Company site fetched 2026-09-23,Head of RA / PRRC,public-source-verified
Cousin Biotech,France,"Implants (meshes, fixation, spinal)",Site: legal manufacturer; products listed as MDR,https://www.cousin-biotech.com/en/,Company site fetched 2026-09-23,Head of RA / PRRC,public-source-verified
Amplitude Surgical,France,Lower-limb orthopaedics,Site: lower-limb orthopaedic surgical technology and prostheses,https://www.amplitude-surgical.com/en/,Company site fetched 2026-09-23,Head of RA / QA,public-source-verified
Biom'up,France,Hemostatic (HEMOBLAST),"Site: Saint-Priest HQ, HEMOBLAST Bellows marketed in Europe and US",https://www.biomup.com/en/,Company site fetched 2026-09-23,Head of RA / PRRC,public-source-verified
Vygon,France,Single-use devices,"Site: catheters, feeding, respiratory, urinary devices; large SKU population",https://www.vygon.com/,Company site fetched 2026-09-23,Head of RA / RA ops manager,public-source-verified
Esaote S.p.A.,Italy,Imaging,"Site: ultrasound, MRI, healthcare IT",https://www.esaote.com/,Company site fetched 2026-09-23,Head of RA / QA,public-source-verified
Eurosets S.r.l.,Italy,Cardiac/ECLS,"Site: cannulae, cardiopulmonary, ECLS products",https://www.eurosets.com/,Company site fetched 2026-09-23,Head of RA / PRRC,public-source-verified
TECRES S.p.A.,Italy,Bone cement/spacers,"Site: Sommacampagna HQ; bone cements, spacers, biomaterials",https://www.tecres.com/,Company site fetched 2026-09-23,Head of RA / PRRC,public-source-verified
Angiodroid S.r.l.,Italy,CO2 angiography injector,Site: Bologna-area company; CO2 injector and disposables,https://www.angiodroid.com/,Company site fetched 2026-09-23,RA/QA manager,public-source-verified
Surgival,Spain,Orthopaedic implants,Site: Spanish manufacturer of orthopaedic implants and instruments,https://www.surgival.com/,Company site fetched 2026-09-23,Head of RA / PRRC,public-source-verified
Balton Sp. z o.o.,Poland,Catheters/stents,Site: Warsaw HQ; single-use catheters and stents,https://www.balton.pl/en,Company site fetched 2026-09-23,Head of RA / QA,public-source-verified
Medicalgorithmics S.A.,Poland,Cardiac monitoring software,Site: Warsaw HQ; devices carry EU certificate under Regulation 2017/745,https://www.medicalgorithmics.com/,Company site fetched 2026-09-23,Head of RA / QA,public-source-verified
CERKAMED,Poland,Dental/endodontic materials,Site: Poland-based dental materials and tools,https://www.cerkamed.com/,Company site fetched 2026-09-23,RA/QA manager,public-source-verified
TZMO Group,Poland,Hygiene and medical devices,Site: Torun HQ; medical devices among hygiene/cosmetics portfolio,https://www.tzmo-global.com/,Company site fetched 2026-09-23,Head of RA / QA,public-source-verified
