id,en_term,da_term,domain,subdomain,source_ref,source_url,context_en,context_da,status,confidence,added_utc,job_run
TB-0011,serious incident,alvorlig hændelse,regulatory,MDR definitions,MDR 2017/745 Art. 2 (to be verified at source),https://eur-lex.europa.eu/legal-content/DA/TXT/?uri=CELEX:32017R0745,,,unverified-seed,0.4,2026-09-25T00:00:00Z,seed-2026-09-25
TB-0012,field safety corrective action,sikkerhedsrelateret korrigerende handling,regulatory,MDR definitions,MDR 2017/745 Art. 2 (to be verified at source),https://eur-lex.europa.eu/legal-content/DA/TXT/?uri=CELEX:32017R0745,,,unverified-seed,0.4,2026-09-25T00:00:00Z,seed-2026-09-25
TB-0013,unique device identifier,unik udstyrsidentifikation,regulatory,MDR definitions,MDR 2017/745 Art. 2 (to be verified at source),https://eur-lex.europa.eu/legal-content/DA/TXT/?uri=CELEX:32017R0745,,,unverified-seed,0.4,2026-09-25T00:00:00Z,seed-2026-09-25
TB-0014,clinical evaluation,klinisk evaluering,regulatory,MDR definitions,MDR 2017/745 Art. 2 (to be verified at source),https://eur-lex.europa.eu/legal-content/DA/TXT/?uri=CELEX:32017R0745,,,unverified-seed,0.4,2026-09-25T00:00:00Z,seed-2026-09-25
TB-0015,clinical investigation,klinisk afprøvning,regulatory,MDR definitions,MDR 2017/745 Art. 2 (to be verified at source),https://eur-lex.europa.eu/legal-content/DA/TXT/?uri=CELEX:32017R0745,,,unverified-seed,0.4,2026-09-25T00:00:00Z,seed-2026-09-25
TB-0016,summary of safety and clinical performance,sammenfatning af sikkerhed og klinisk ydeevne,regulatory,MDR definitions,MDR 2017/745 Art. 2 (to be verified at source),https://eur-lex.europa.eu/legal-content/DA/TXT/?uri=CELEX:32017R0745,,,unverified-seed,0.4,2026-09-25T00:00:00Z,seed-2026-09-25
TB-0017,label,mærkning,regulatory,MDR definitions,MDR 2017/745 Art. 2 (to be verified at source),https://eur-lex.europa.eu/legal-content/DA/TXT/?uri=CELEX:32017R0745,,,unverified-seed,0.4,2026-09-25T00:00:00Z,seed-2026-09-25
TB-0018,CE marking of conformity,CE-overensstemmelsesmærkning,regulatory,MDR definitions,MDR 2017/745 Art. 2 (to be verified at source),https://eur-lex.europa.eu/legal-content/DA/TXT/?uri=CELEX:32017R0745,,,unverified-seed,0.4,2026-09-25T00:00:00Z,seed-2026-09-25
TB-0019,placing on the market,bringe i omsætning,regulatory,MDR definitions,MDR 2017/745 Art. 2 (to be verified at source),https://eur-lex.europa.eu/legal-content/DA/TXT/?uri=CELEX:32017R0745,,,unverified-seed,0.4,2026-09-25T00:00:00Z,seed-2026-09-25
TB-0020,putting into service,ibrugtagning,regulatory,MDR definitions,MDR 2017/745 Art. 2 (to be verified at source),https://eur-lex.europa.eu/legal-content/DA/TXT/?uri=CELEX:32017R0745,,,unverified-seed,0.4,2026-09-25T00:00:00Z,seed-2026-09-25
TB-0021,making available on the market,tilgængeliggørelse på markedet,regulatory,MDR definitions,MDR 2017/745 Art. 2 (to be verified at source),https://eur-lex.europa.eu/legal-content/DA/TXT/?uri=CELEX:32017R0745,,,unverified-seed,0.4,2026-09-25T00:00:00Z,seed-2026-09-25
TB-0022,economic operator,erhvervsdrivende,regulatory,MDR definitions,MDR 2017/745 Art. 2 (to be verified at source),https://eur-lex.europa.eu/legal-content/DA/TXT/?uri=CELEX:32017R0745,,,unverified-seed,0.4,2026-09-25T00:00:00Z,seed-2026-09-25
